n,xgb_rmse_log,xgb_rmse_raw,xgb_r_log,xgb_r_raw,persist_rmse_log,persist_rmse_raw,persist_r_log,persist_r_raw,horizon,subset
109495,0.19946687696393436,532.3638784142618,0.9479970653036227,0.9730827839830655,0.2352710871312022,469.0764392044042,0.9284867411028632,0.9788030096003753,30min,overall
7679,0.28608717402423745,495.1388512595658,0.8605976721944067,0.9090652401723479,0.3032673665488786,550.1217144157758,0.8420241678389928,0.896019995538873,30min,storm
101816,0.19135031273697686,535.0663873056073,0.9522474419315072,0.9742078231913025,0.2293266128848874,462.38824969524063,0.9323314491444673,0.9803732291661699,30min,quiet
109201,0.3412487245591544,1347.1581667168114,0.8419529751635478,0.8181020025265989,0.4437019258867413,1770.3101958439006,0.7487161304655209,0.6987925775361172,6h,overall
7683,0.3887208417658759,832.8459704360118,0.7526042334984356,0.7900495118724772,0.5059622589263428,1164.156906208898,0.6105235579679058,0.6045650460797966,6h,storm
101518,0.3373841987683214,1378.2920765425288,0.8467929368448318,0.8186078065658462,0.43863041830234084,1807.9311547883078,0.7555501268329935,0.7001287225766811,6h,quiet
109016,0.38133860913449164,1518.0784122641035,0.8029814526243317,0.7506129479270629,0.5426629643571754,2162.1937778979773,0.6264161086365869,0.5512768801780866,12h,overall
7695,0.4309420877539875,1035.1797049183308,0.7424169418187484,0.7861570659264464,0.5930093003039464,1571.5547319335449,0.508294916867527,0.45750989880114756,12h,storm
101321,0.3773050391424294,1548.6128456683862,0.8092386666431142,0.7499330659863159,0.538647092898429,2200.583356469952,0.633596264488315,0.5540181172992975,12h,quiet
