,gain_share
flux_lag_12h,0.40930978321921174
flux_mean_24h,0.20548418843329977
SYM_H_mean_24h,0.03585351511721996
flow_speed_mean_24h,0.035456365667883606
proton_density_mean_6h,0.032542187179692504
flux_mean_6h,0.02841542235622819
proton_density_std_24h,0.022880608102684233
flow_speed_mean_6h,0.01955638404156454
AE_INDEX_mean_24h,0.010890908222365929
proton_density_mean_1h,0.010376290790287216
flux_mean_1h,0.010169242148194719
BZ_GSM_min_24h,0.01001430209914491
proton_density_std_6h,0.009804833373742572
AE_INDEX_mean_6h,0.008893856925421625
BZ_GSM_mean_24h,0.00859607328840952
AE_INDEX_max_24h,0.008095887358301855
flow_speed_max_24h,0.007835225069994137
BZ_GSM_std_6h,0.007664293089337107
BZ_GSM_std_24h,0.007610913474605131
proton_density_mean_24h,0.007563112379341384
flow_speed_mean_1h,0.007208601488521475
flux_std_24h,0.006714918337429954
BZ_GSM_mean_6h,0.005626319245005622
SYM_H_min_24h,0.005385864421599805
SYM_H_mean_6h,0.005086674617957384
AE_INDEX_std_24h,0.004252729467535708
flow_speed_std_24h,0.004033356925308601
AE_INDEX_std_6h,0.003961027023248099
SYM_H_std_24h,0.0038466011201661178
flux_lag_6h,0.003511207305309272
flow_speed_carr,0.003183872414021247
log_flux_carr,0.0028035890533253094
flux_trend_6h,0.0026617887183833957
SYM_H_lag582,0.00263447345363789
flow_speed_lag438,0.0022834432042930907
SYM_H_carr,0.002243237089904267
SYM_H_mean_1h,0.0022408470021788992
flux_std_6h,0.002199382062107662
SYM_H,0.0021872289060692785
BZ_GSM_mean_1h,0.002018652402847841
SYM_H_std_6h,0.001989621126973075
flux_lag_3h,0.0017727578307547055
flow_speed_lag576,0.0017095216999273197
p_dyn_jump_3h,0.0016524995994128065
flux_lag_1h,0.0016470333161699928
AE_INDEX_mean_1h,0.0014996068314086825
AE_INDEX,0.0014804253143822748
BZ_GSM,0.001473353937748387
flow_speed_std_6h,0.0013578687949883652
p_dyn,0.001327935261821327
flux_now,0.001229756994463647
proton_density,0.0010346169290284515
AE_INDEX_lag720,0.000987913968816017
proton_density_carr,0.0008992638318281372
flow_speed,0.0007966762135530323
BZ_GSM_carr,0.000648132722891937
AE_INDEX_carr,0.0006315928362326602
BZ_GSM_lag654,0.0006203639809449175
SYM_H_roc_6h,0.00061961005346597
p_dyn_roc_6h,0.000585606762248568
proton_density_lag66,0.0005306479294373978
AE_INDEX_roc_6h,0.00048325465875484155
BZ_GSM_roc_6h,0.0004707389187283313
p_dyn_roc_3h,0.00045791201571564714
SYM_H_roc_3h,0.0003586117569283455
p_dyn_jump_1h,0.00030857133471338477
AE_INDEX_roc_3h,0.00026450866577948845
flux_trend_30min,0.00025008204633146297
ec_newell_proxy,0.00024263916531928615
flux_std_30min,0.0002183647647537463
flux_trend_15min,0.0001969559725734572
BZ_GSM_roc_3h,0.00019304552486287642
SYM_H_roc_1h,0.0001851643086509629
BZ_GSM_roc_1h,0.00017873771347505122
AE_INDEX_roc_1h,0.00016440963034607166
flux_std_15min,0.00016215918895953968
p_dyn_roc_1h,0.00014302074938308507
vbs_rect,0.00012981105244520895
